,words,occurrences
0,saruei,90
1,wow,5
2,draw,16
3,really,6
4,beautiful,5
5,good,7
6,keep,6
7,great,6
8,work,10
9,bluegoesmew,1
10,best,2
11,art,10
12,sweet,2
13,approve,1
14,face,2
15,much,4
16,cute,16
17,look,4
18,zechariahs,5
19,imitations,1
20,nacre,1
21,omg,4
22,soo,1
23,looong,1
24,thank,31
25,remind,2
26,childhoood,1
27,pretty,4
28,love,15
29,outfit,1
30,gt,1
31,watch,6
32,anime,4
33,paradise,1
34,honest,1
35,nice,4
36,deserve,1
37,amaze,8
38,polish,1
39,excellent,1
40,lilymaidarling,2
41,benanoob,1
42,sorry,5
43,active,1
44,lately,1
45,search,1
46,apartment,1
47,aaaah,1
48,ca,6
49,nt,11
50,wait,6
51,twitch,4
52,long,1
53,limit,1
54,daily,1
55,spend,1
56,cup,1
57,noodles,1
58,way,2
59,ll,2
60,able,2
61,afford,1
62,house,1
63,years,1
64,home,1
65,nnnever,1
66,stoooop,1
67,jump,1
68,everywhere,1
69,like,3
70,lethal,1
71,monsterenergy,1
72,dosage,1
73,would,4
74,cry,1
75,ve,5
76,sleep,2
77,hours,3
78,still,1
79,enough,2
80,go,3
81,day,2
82,bunnibuu,1
83,come,4
84,support,1
85,ur,1
86,adorable,1
87,dream,1
88,starbuck,1
89,taste,1
90,unicorn,1
91,frappuccino,1
92,delicious,1
93,hard,1
94,progress,1
95,it,1
96,lovee,1
97,ittt,1
98,dear,2
99,french,2
100,people,3
101,forget,2
102,vote,1
103,important,1
104,linaspiderpig,1
105,late,1
106,tax,1
107,france,1
108,super,2
109,stressful,1
110,manage,1
111,time,3
112,arrive,1
113,take,3
114,care,1
115,be,1
116,adult,1
117,suck,1
118,many,2
119,air,1
120,happy,1
121,birthday,1
122,therealsplashy,2
123,online,1
124,make,2
125,difference,1
126,bye,2
127,wave,1
128,micoon,1
129,picture,2
130,tomatecannibal,1
131,oh,2
132,damn,1
133,see,3
134,cosplay,2
135,aaah,2
136,fav,2
137,oda,1
138,badass,1
139,af,1
140,caster,1
141,new,1
142,game,1
143,currently,1
144,hand,1
145,sew,1
146,oginon,1
147,problem,1
148,amp,1
149,you,1
150,also,5
151,arts,2
152,linksmasher,1
153,beyond,1
154,another,1
155,marvelous,1
156,creation,1
157,lovely,2
