,words,occurrences
0,hello,11
1,fellow,5
2,meisters,1
3,sorry,11
4,active,1
5,weeks,3
6,finals,3
7,weekbut,1
8,back,38
9,home,5
10,pc,7
11,tomorrow,21
12,even,28
13,est,22
14,unpack,1
15,finally,28
16,reveal,13
17,official,6
18,debut,17
19,date,4
20,stay,8
21,tune,5
22,vtuberdebut,9
23,vtuberen,102
24,vtuber,949
25,elxox,1
26,meet,17
27,almost,15
28,end,21
29,year,84
30,thank,119
31,god,7
32,able,12
33,find,20
34,first,43
35,ever,14
36,run,4
37,across,1
38,always,15
39,keep,18
40,support,33
41,good,47
42,bad,15
43,time,95
44,remember,10
45,yourself,1
46,online,2
47,pika,1
48,pikaa,1
49,pi,1
50,today,69
51,let,73
52,go,107
53,pikachu,1
54,really,35
55,miss,9
56,team,5
57,come,68
58,join,32
59,link,17
60,next,30
61,tweet,14
62,vstreamer,13
63,twitch,121
64,livestream,7
65,supportsmallstreamers,3
66,pokemon,12
67,miamisakii,4
68,leraje,8
69,willowvtuber,8
70,mino,2
71,one,51
72,sweet,4
73,candy,1
74,new,59
75,tiktok,7
76,showcasing,2
77,great,15
78,silly,3
79,stack,1
80,moments,3
81,stressedsteph,1
82,njaey,1
83,pocketedrain,1
84,thesieg,1
85,hope,47
86,enjoy,9
87,much,62
88,cackle,1
89,edit,3
90,valorant,4
91,random,4
92,nuzlock,1
93,magic,3
94,teacher,3
95,get,108
96,third,1
97,badge,2
98,shenanigans,1
99,live,111
100,envtubers,69
101,dear,1
102,earthlings,1
103,christmas,20
104,elf,1
105,envtuber,344
106,vtuberuprising,122
107,master,3
108,chief,2
109,play,59
110,campaign,6
111,halo,11
112,haloinfinite,3
113,vtubers,57
114,gamingrt,1
115,twitchaffiliate,11
116,emion,3
117,super,12
118,cute,16
119,would,42
120,love,53
121,friends,25
122,witcher,2
123,catgirl,4
124,demon,5
125,streamergirl,2
126,twitchstreamer,31
127,morning,32
128,yall,15
129,look,44
130,tasty,2
131,re,42
132,esquires,3
133,pal,3
134,antilliachannel,3
135,share,9
136,favorite,15
137,youtube,21
138,videos,5
139,kek,4
140,cringe,5
141,smallstreamers,4
142,collab,5
143,holy,3
144,hecc,1
145,way,15
146,hold,6
147,spoilers,3
148,undecided,1
149,see,75
150,friendly,3
151,neighbourhood,1
152,tell,9
153,worth,1
154,every,13
155,bite,17
156,nowayhome,1
157,sing,8
158,karaoke,4
159,thugs,1
160,try,42
161,fight,5
162,know,55
163,happen,13
164,fanart,9
165,lovely,9
166,amaze,33
167,cypuss,1
168,soooooo,1
169,gooooood,1
170,shopkungart,1
171,brighttoaster,1
172,cafe,4
173,open,13
174,business,1
175,chill,11
176,smallstreamer,25
177,pngtuber,11
178,finale,1
179,bioshock,1
180,infinite,6
181,via,6
182,vtuberita,1
183,itavtuber,1
184,bioshockinfinite,1
185,groot,1
186,problem,1
187,guardians,1
188,galaxy,1
189,smallstreamercommunity,1
190,gotggame,1
191,damm,1
192,proud,5
193,progress,5
194,cattflorendo,1
195,everything,10
196,make,105
197,lt,28
198,twitchrecap,65
199,smallyoutuber,2
200,schedule,8
201,diga,10
202,dig,11
203,take,26
204,also,26
205,mordor,1
206,lot,24
207,game,47
208,like,65
209,little,22
210,misfortune,1
211,now,5
