"name","query"
"q2017_1","vtuber since:2017-01-01 until:2017-06-30 lang:en"
"q2017_2","vtuber since:2017-07-01 until:2017-12-31 lang:en"
"q2018_1","vtuber since:2018-01-01 until:2018-06-30 lang:en"
"q2018_2","vtuber since:2018-07-01 until:2018-12-31 lang:en"
"q2019_1","vtuber since:2019-01-01 until:2019-06-30 lang:en"
"q2019_2","vtuber since:2019-07-01 until:2019-12-31 lang:en"
"q2020_1","vtuber since:2020-01-01 until:2020-06-30 lang:en"
"q2020_2","vtuber since:2020-07-01 until:2020-12-31 lang:en"
"q2021_1","vtuber since:2021-01-01 until:2021-06-30 lang:en"
"q2021_2","vtuber since:2021-07-01 until:2021-12-31 lang:en"
